こんな,その,そんな,ちょっと,とう,とても,なく,もう,もっと,やっはり,よかっ,よく,キャスト,ストーリー,ラスト,人間,俳優,内容,印象,原作,台詞,好き,展開,役者,意味,描写,日本,映像,最後,最高,本当に,気持ち,演出,演技,物語,特に,素晴らしい,良かっ,良く,雰囲気,面白い,面白かっ
0.0,0.0,0.0,0.49531742405267676,0.0,0.0,0.15421413882263602,0.0,0.0,0.0,0.0,0.0,0.1776559564094643,0.0,0.0,0.1619900434227124,0.0,0.17057522232666159,0.0,0.3553119128189286,0.1788974529299867,0.27956556400095856,0.1752276059678809,0.0,0.0,0.0,0.3366875803925642,0.1717139709025822,0.14710799447098657,0.16725029125856258,0.1683437901962821,0.0,0.0,0.28113065558313055,0.1505846329132905,0.17403970111612202,0.15514700708529974,0.0,0.0,0.0,0.0,0.0
0.0,0.22676510497018243,0.0941130004896723,0.08928194481577893,0.18571069616875224,0.1797160013068582,0.16678442021508028,0.1797160013068582,0.0,0.18206580576238826,0.09103290288119413,0.17856388963155786,0.28820553595529524,0.0,0.24720026063449627,0.3503883065345377,0.0,0.18447912607760705,0.0,0.0,0.29021957577312785,0.1511767366467883,0.0,0.35712777926311573,0.19213702397019683,0.09742145515868864,0.2730987086435824,0.0,0.15909904081535076,0.0,0.0,0.0,0.0,0.15202306920134182,0.08142953326292987,0.0,0.08389666415278291,0.07730564573236752,0.0,0.0,0.08289339253828441,0.0
0.0,0.18671463178006137,0.0,0.0,0.0,0.0,0.2059912940168055,0.0,0.0,0.0,0.22486495367398643,0.0,0.0,0.2163779463883055,0.0,0.432755892776611,0.0,0.0,0.0,0.0,0.0,0.18671463178006137,0.0,0.0,0.0,0.24064563809088876,0.0,0.4587333345312569,0.0,0.0,0.0,0.0,0.0,0.1877599160929259,0.20114318719199867,0.4649465154999883,0.20723737133526923,0.0,0.0,0.0,0.0,0.0
0.20423976790650802,0.17291458911044305,0.21529120380001718,0.20423976790650802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20423976790650802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42482844164656514,0.0,0.2068925441151766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7585017234082556,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4926703562457888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4958491135559949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5023323896573536,0.0,0.0,0.0,0.0,0.5089909104920383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7393891724308189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6732782869602054,0.0
0.24117465924143963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25082738709604013,0.0,0.0,0.0,0.0,0.0,0.22258490129568073,0.0,0.25772038996205976,0.0,0.0,0.25950701107200264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24430716572990327,0.0,0.0,0.4505297884712317,0.0,0.0,0.0,0.0,0.41764687822185925,0.0,0.5084492921860001,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
